2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,valor_por_quantidade
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
217974,112178,100835,29281,91988,106426,31597,34341,33909,36992,40621,36442,39491,37324,22942,29320,2.32
0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4.33
0,0,0,0,0,0,0,0,387,0,0,0,0,0,8,33273,4.39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,658,4441,5155,7554,9145,39784,12024,2.28
7845,7344,9547,2444,5135,8281,2295,2759,2719,1778,1666,1086,0,36,581,72,6.26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.86
0,0,0,0,0,0,0,0,0,15,48,0,0,0,0,0,2.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3660,0,1.71
0,0,0,0,0,0,0,0,0,503,3661,3490,3441,3127,6561,6302,3.38
0,0,0,0,0,0,0,0,0,923,7276,6270,8644,7240,7417,5628,3.28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3.44
0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.44
0,0,1350,0,0,1521,0,0,664,2748,4,24,9,6,3,2277,6.02
0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,5.03
0,0,0,0,0,0,0,0,0,0,9,9,14,0,0,0,4.09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
41,0,54,6449,1350,0,0,0,0,5175,28437,12094,68247,32234,10800,808,1.61
0,0,10268,5104,2375,7179,1058,0,0,1295,628,1859,1878,2711,861,309,7.57
0,0,0,0,0,0,0,0,0,0,0,0,7227,0,0,0,1.65
0,0,2587,2364,1004,2800,809,504,1678,969,500,95,657,63,338,0,5.73
0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,3.45
171654,87368,125414,134879,57792,165289,44987,42953,0,9451,44882,248,3791,7034,2244,3074,3.37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,30,6.17
24,0,0,39,0,0,0,0,0,1183,7918,10821,29520,11490,14785,121432,1.65
486927,510989,240168,354824,481564,521847,495428,985739,2393468,3234168,2419537,3299013,6522527,5076670,3780378,3705268,1.39
0,0,0,0,0,0,0,0,0,5193,9755,0,9720,0,47277,0,1.92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2.0
6982,20464,11732,21663,19249,30181,11654,11457,0,720,5,74,4,0,298,0,4.11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141000,4577,95,47172,23810,71544,47736,0,0,0,18328,7958,6358,1918,13742,26340,1.53
0,0,0,94,6,0,0,0,0,6771,0,0,0,1440,0,0,4.06
30092,123624,122629,82937,59161,305807,68382,117044,60711,67708,34295,22913,25316,18835,11326,14780,4.07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21912914,0,0,4528176,5893291,190656,47664,0,0,0,0,1463,181931,66046,0,56,0.71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1.94
0,0,0,0,0,0,0,0,0,2184,0,0,0,0,0,0,1.08
0,0,0,0,0,0,0,0,0,0,0,0,8,20,39,0,3.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,18,9240,6525,8101,23200,36608,1.78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10482,2.42
0,0,0,0,0,0,0,0,0,0,0,0,4504,4322,3941,4141,4.12
0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2.4
28334,0,1641,2705,3195,10404,1412,291,15445,8062,28,6,23,5,0,0,3.69
27653,2025,0,4014,2997,27933,15872,4230,6525,0,2223,2827,627,1584,2500,2350,7.18
3830,1836,3774,396,1800,6,453,900,3690,0,3206,4185,900,1225,3105,27900,2.12
0,0,0,0,0,0,0,0,0,8,128,534,1334,432,189,266,3.52
0,0,4500,0,0,12519,7200,16967,14988,7589,12,963,1313,25,4208,0,3.96
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.67
9269,1091,6846,7960,3697,4500,2297,3837,2746,2712,2115,563,456,1305,405,2273,6.07
0,0,0,0,0,0,0,0,0,0,0,0,1890,17317,14550,27630,1.64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3.33
0,0,0,531,0,360,0,0,0,0,0,0,0,0,0,64,4.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,360,115,0,343,418,28104,216,3.31
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.0
0,914,1238,1135,1526,0,0,0,0,7711,6180,0,136774,637117,326093,36729,1.5
0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1.72
0,0,0,1029,0,14,0,0,680,71,0,4086,26415,23220,141030,122922,1.59
743,8820,0,0,0,0,0,0,0,0,20,86,0,130,72,16,1.33
